,File Type,Directory,File Name,Functions,Imports
520,Javascript,chrome/content/zotero,longTagFixer.js,[],[]
522,Javascript,chrome/content/zotero,lookup.js,[],[]
523,Javascript,chrome/content/zotero,menuAccessKey.js,"['init', 'setAccessKeysHidden', 'observeMenuActive', 'tryHideAccessKeys']",[]
524,Javascript,chrome/content/zotero,merge.js,"['_updateGroup', '_getCurrentMergeInfo', '_getMergeInfo', '_getMergeDataWithSide', '_updateResolveAllCheckbox', '_isLastConflict', '_showNextButton', '_showFinishButton', '_setInstructionsString', '_error']",[]
526,Javascript,chrome/content/zotero/modules,commandLineOptions.mjs,[],[]
527,Javascript,chrome/content/zotero/modules,filePicker.mjs,[],[]
528,Javascript,chrome/content/zotero/modules,immutable.js,"['removeKeys', 'pickKeys']",[]
529,Javascript,chrome/content/zotero,newCollectionDialog.js,[],[]
531,Javascript,chrome/content/zotero,note.js,"['showInLibrary', 'onLoad', 'onUnload']",[]
533,Javascript,chrome/content/zotero,osfile.mjs,"['init', 'getEntry', 'winGetDrive', 'winIsAbsolute', 'wrapWrite']",[]
534,Javascript,chrome/content/zotero,platformKeys.js,[],[]
536,Javascript,chrome/content/zotero/preferences,preferences.js,"['rest', 'attachToPreference', 'syncToPref', 'detachFromPreference']",[]
538,Javascript,chrome/content/zotero/preferences,preferences_advanced.js,[],[]
540,Javascript,chrome/content/zotero/preferences,preferences_cite.jsx,[],[]
542,Javascript,chrome/content/zotero/preferences,preferences_export.jsx,[],[]
544,Javascript,chrome/content/zotero/preferences,preferences_file_renaming.js,[],[]
546,Javascript,chrome/content/zotero/preferences,preferences_general.js,"['updateUI', 'update']",[]
548,Javascript,chrome/content/zotero/preferences,preferences_sync.jsx,[],[]
552,Javascript,chrome/content/zotero,progressQueueDialog.jsx,[],[]
555,Javascript,chrome/content/zotero,proxy.js,['_updateRemaining'],[]
557,Javascript,chrome/content/zotero,publicationsDialog.js,['getLicense'],[]
560,Javascript,chrome/content/zotero,reportInterface.js,[],[]
561,Javascript,chrome/content/zotero,rtfScan.js,[],[]
564,Javascript,chrome/content/zotero,runJS.js,"['update', 'run', 'openHelp', 'handleInput']",[]
565,Javascript,chrome/content/zotero,searchDialog.js,"['doLoad', 'doUnload', 'doAccept']",[]
567,Javascript,chrome/content/zotero,selectItemsDialog.js,"['doLoad', 'doUnload', 'onCollectionSelected', 'onSearch', 'doAccept']","['CollectionTree', 'ItemTree']"
569,Javascript,chrome/content/zotero/standalone,basicViewer.js,['loadURI'],[]
572,Javascript,chrome/content/zotero/standalone,standalone.js,"['decreaseFontSize', 'increaseFontSize', 'toJavaScriptConsole', 'openRunJSWindow', 'openStyleEditor', 'openScaffold', 'openWindowByType', 'openUILinkIn']",[]
574,Javascript,chrome/content/zotero,tabs.js,[],[]
575,Javascript,chrome/content/zotero,tagColorChooser.js,[],[]
