Directory,File Name,Function Types,Function Names,Function Params
chrome/content/zotero/ace,aceWrapper.js,NONE,NONE,NONE
chrome/content/zotero/actors,actorUtils.mjs,AsyncFunctionDeclaration,documentIsReady,document
chrome/content/zotero/actors,actorUtils.mjs,AsyncFunctionDeclaration,documentIsReady,[ComplexParam]
chrome/content/zotero/actors,actorUtils.mjs,FunctionDeclaration,readyEnough,readyState
chrome/content/zotero/actors,actorUtils.mjs,AsyncFunctionDeclaration,onChange,event
chrome/content/zotero/actors/translation,http.js,ObjectPropertyFunction,get,t
chrome/content/zotero/actors/translation,http.js,ObjectPropertyFunction,get,prop
chrome/content/zotero/actors/translation,translate_item.js,NONE,NONE,NONE
chrome/content/zotero,advancedSearch.js,AsyncFunctionDeclaration,onLoad,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isSearchMode,NONE
chrome/content/zotero,advancedSearch.js,AsyncObjectPropertyFunction,getItems,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isLibrary,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isCollection,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isSearch,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isPublications,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isDuplicates,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isFeed,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isFeeds,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isFeedsOrFeed,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isShare,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isTrash,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isSearch,NONE
chrome/content/zotero,advancedSearch.js,FunctionDeclaration,search,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isSearchMode,NONE
chrome/content/zotero,advancedSearch.js,ObjectPropertyFunction,isSearch,NONE
chrome/content/zotero,advancedSearch.js,AsyncObjectPropertyFunction,getItems,NONE
chrome/content/zotero,advancedSearch.js,FunctionDeclaration,clear,NONE
chrome/content/zotero,advancedSearch.js,FunctionDeclaration,onItemActivate,event
chrome/content/zotero,advancedSearch.js,FunctionDeclaration,onItemActivate,items
chrome/content/zotero,attachLink.js,FunctionDeclaration,getAttachFileLabel,NONE
chrome/content/zotero,bibliography.js,NONE,NONE,NONE
chrome/content/zotero,browserWindowShim.js,ClassMethod,_openURIInNewTab,NONE
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindow,aURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindow,aOpenWindowInfo
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindow,aWhere
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindow,aFlags
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindow,aTriggeringPrincipal
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindow,aCsp
